"agep","schg","esr","puma"
22,"15","6","11611"
24,"15","6","11612"
23,"16","6","11604"
23,"15","6","11611"
23,"16","6","11604"
23,"15","3","11604"
24,"16","3","11612"
23,"15","3","11614"
24,"16","3","11614"
22,"15","6","11613"
23,"15","6","11610"
23,"15","6","11614"
23,"16","6","11611"
22,"15","6","11613"
22,"15","6","11611"
22,"15","6","11613"
22,"15","6","11614"
22,"15","6","11614"
22,"15","6","11610"
22,"15","3","11604"
23,"16","6","11612"
23,"15","6","11613"
22,"15","6","11613"
22,"15","3","11612"
22,"15","6","11611"
24,"15","6","11604"
24,"15","6","11610"
23,"16","6","11604"
22,"15","6","11612"
23,"15","3","11613"
22,"15","3","11611"
24,"15","6","11604"
23,"15","6","11613"
22,"15","3","11610"
22,"16","3","11614"
22,"15","3","11611"
22,"15","6","11612"
22,"15","6","11610"
22,"15","6","11610"
22,"15","3","11610"
24,"15","6","11613"
22,"15","6","11610"
23,"15","6","11613"
24,"15","6","11604"
23,"15","6","11610"
23,"16","6","11604"
22,"15","6","11611"
23,"15","6","11614"
24,"15","6","11612"
22,"15","3","11610"
22,"15","6","11604"
22,"15","6","11613"
22,"15","6","11614"
24,"15","6","11610"
24,"15","6","11614"
22,"15","6","11613"
24,"15","6","11604"
22,"15","6","11610"
24,"15","3","11611"
24,"15","3","11612"
22,"15","6","11604"
24,"15","6","11604"
24,"15","6","11604"
22,"15","6","11611"
23,"15","6","11614"
22,"15","6","11612"
24,"16","3","11604"
22,"15","6","11612"
23,"15","6","11611"
24,"15","6","11612"
23,"15","3","11610"
24,"15","6","11610"
23,"15","6","11611"
23,"15","6","11604"
24,"15","6","11611"
22,"13","6","11610"
22,"15","6","11614"
23,"15","3","11614"
22,"15","6","11613"
22,"15","6","11614"
24,"15","6","11604"
22,"15","6","11604"
24,"15","6","11613"
24,"15","3","11604"
22,"15","3","11613"
24,"15","6","11614"
22,"15","3","11613"
22,"15","6","11613"
24,"15","6","11610"
23,"15","6","11610"
23,"15","3","11604"
22,"15","6","11614"
22,"15","6","11613"
23,"15","6","11613"
24,"16","3","11614"
23,"15","3","11614"
22,"15","3","11613"
22,"15","3","11612"
22,"15","6","11612"
22,"15","6","11613"
24,"15","6","11612"
24,"16","3","11614"
24,"15","6","11614"
24,"15","6","11614"
22,"16","6","11611"
22,"13","6","11612"
22,"15","6","11610"
22,"15","6","11610"
23,"15","6","11612"
23,"15","3","11611"
24,"16","6","11604"
23,"15","6","11613"
22,"16","6","11611"
22,"15","6","11613"
23,"15","6","11610"
