"agep","esr","puma","schl"
21,"1","11614","19"
21,"1","11614","14"
20,"1","11613","18"
20,"1","11611","13"
19,"1","11604","14"
21,"1","11613","18"
21,"1","11613","19"
20,"1","11611","15"
21,"1","11610","18"
20,"2","11613","18"
20,"1","11610","18"
21,"1","11613","18"
20,"1","11613","19"
21,"1","11610","18"
20,"1","11612","15"
19,"1","11611","18"
21,"1","11604","19"
21,"1","11611","15"
20,"1","11604","18"
20,"1","11611","15"
21,"1","11611","15"
21,"1","11614","18"
20,"1","11612","19"
21,"1","11614","15"
21,"1","11612","19"
21,"1","11604","14"
20,"1","11613","19"
20,"4","11613","18"
20,"1","11604","14"
19,"1","11610","18"
20,"1","11614","14"
20,"1","11611","14"
19,"1","11612","13"
19,"1","11610","18"
21,"1","11614","18"
20,"1","11614","14"
19,"1","11613","18"
21,"1","11604","19"
20,"1","11614","18"
20,"1","11611","14"
19,"1","11614","15"
21,"1","11613","08"
21,"1","11604","19"
20,"1","11612","19"
19,"1","11604","19"
21,"1","11610","18"
21,"1","11610","18"
21,"1","11614","14"
19,"1","11604","13"
21,"1","11614","19"
21,"1","11614","19"
19,"1","11613","19"
21,"1","11613","13"
20,"1","11611","19"
20,"1","11610","18"
21,"1","11611","01"
20,"1","11614","12"
20,"1","11614","19"
20,"1","11612","18"
19,"1","11613","19"
21,"1","11613","12"
19,"2","11614","15"
20,"1","11614","19"
20,"1","11604","19"
21,"1","11611","19"
19,"1","11604","18"
21,"1","11612","19"
19,"1","11614","13"
21,"1","11604","19"
21,"1","11613","19"
21,"1","11611","15"
20,"1","11614","15"
21,"1","11612","18"
21,"1","11604","19"
20,"1","11611","19"
21,"1","11611","19"
21,"1","11604","14"
21,"1","11612","19"
21,"2","11614","19"
21,"1","11611","19"
20,"1","11614","18"
20,"1","11611","09"
21,"1","11614","18"
20,"1","11611","15"
21,"1","11611","15"
21,"1","11611","18"
21,"1","11614","01"
21,"2","11613","19"
20,"1","11614","15"
19,"1","11613","19"
20,"1","11610","19"
20,"1","11612","19"
20,"1","11613","13"
21,"1","11610","19"
20,"1","11613","19"
20,"1","11610","19"
21,"1","11610","18"
19,"1","11610","15"
19,"1","11610","18"
20,"1","11614","14"
19,"1","11614","14"
19,"2","11612","18"
21,"1","11612","18"
21,"1","11613","15"
19,"1","11613","13"
19,"1","11611","14"
21,"1","11611","13"
21,"1","11613","19"
20,"1","11611","14"
21,"1","11612","18"
21,"1","11613","12"
20,"1","11612","18"
21,"1","11612","14"
21,"1","11612","19"
19,"1","11612","15"
21,"1","11611","14"
20,"1","11614","19"
21,"1","11614","18"
19,"1","11604","14"
20,"1","11614","19"
